Algorithm,Iterations,Dataset,Learning Rate,Training Calibration Error,Testing Calibration Error,Testing Calibration Error (Ergodic)
GD,13,AdultIncome,0.9+0,0.0938738151215104,0.06774420368097117,0.0010173924212275311
GD,16,AdultIncome,0.9+0,0.030892226007836723,0.04682579148019229,0.00036106375081255244
GD,19,AdultIncome,0.9+0,0.13250577780174874,0.09397595684891619,0.001323953278944741
GD,22,AdultIncome,0.9+0,0.20248944494582222,0.14149604526653195,0.0016018485328489263
GD,25,AdultIncome,0.9+0,0.03749936146020889,0.04682579148019229,0.000665891016453338
GD,28,AdultIncome,0.9+0,0.07436720627517301,0.04682579148019229,0.0009332007427038072
GD,31,AdultIncome,0.9+0,0.08721025674479063,0.06321248410501618,0.0010204072179820622
GD,34,AdultIncome,0.9+0,0.10697571141753182,0.07106106688005902,0.001154617983435296
GD,37,AdultIncome,0.9+0,0.11455940428933618,0.08141719336590039,0.001206112535022352
GD,40,AdultIncome,0.9+0,0.1250635772860726,0.08558825204445199,0.0012774376384255845
GD,43,AdultIncome,0.9+0,0.12869083407720863,0.09136558542011375,0.0013020673228165635
GD,46,AdultIncome,0.9+0,0.13427318227876722,0.09358225701530189,0.0013399724070942806
GD,49,AdultIncome,0.9+0,0.1364150411413652,0.09650713301843665,0.00135451598943031
Hedge-Hedge,1,AdultIncome,0.95+0.9,0.12619669277632725,0.12473064810210513,0.0012473064810210512
Hedge-Hedge,4,AdultIncome,0.95+0.9,0.09014202071153744,0.08599094985300929,0.0008599094985300928
Hedge-Hedge,7,AdultIncome,0.95+0.9,0.06442529326527761,0.06054629336160033,0.0007621109431755228
Hedge-Hedge,10,AdultIncome,0.95+0.9,0.05479882409267691,0.03858470611930928,0.0007621109431755228
Hedge-Hedge,13,AdultIncome,0.95+0.9,0.042920639548471036,0.037626388198243,0.0004892078232940339
Hedge-Hedge,16,AdultIncome,0.95+0.9,0.042920639548471036,0.037626388198243,0.00025029439796861143
Hedge-Hedge,19,AdultIncome,0.95+0.9,0.042920639548471036,0.037626388198243,0.00025029439796861143
Hedge-Hedge,22,AdultIncome,0.95+0.9,0.033633910781999184,0.037626388198243,0.00025029439796861143
Hedge-Hedge,25,AdultIncome,0.95+0.9,0.025567670304699145,0.037626388198243,0.00025029439796861143
Hedge-Hedge,28,AdultIncome,0.95+0.9,0.025567670304699145,0.037626388198243,0.00025029439796861143
Hedge-Hedge,31,AdultIncome,0.95+0.9,0.025567670304699145,0.037626388198243,0.00025029439796861143
Hedge-Hedge,34,AdultIncome,0.95+0.9,0.025567670304699145,0.037626388198243,0.00025029439796861143
Hedge-Hedge,37,AdultIncome,0.95+0.9,0.025567670304699145,0.037626388198243,0.00025029439796861143
Hedge-Hedge,40,AdultIncome,0.95+0.9,0.025567670304699145,0.037626388198243,0.00025029439796861143
Hedge-Hedge,43,AdultIncome,0.95+0.9,0.025567670304699145,0.037626388198243,0.00025029439796861143
Hedge-Hedge,46,AdultIncome,0.95+0.9,0.025567670304699145,0.037626388198243,0.0003475655117619362
Hedge-Hedge,49,AdultIncome,0.95+0.9,0.025567670304699145,0.037626388198243,0.0003475655117619362
OGD-OGD,1,AdultIncome,0.95+0.9,0.12619669277632725,0.12166418034145533,0.0012166418034145533
OGD-OGD,4,AdultIncome,0.95+0.9,0.057470566230119854,0.08171722194596386,0.000990913043890851
OGD-OGD,7,AdultIncome,0.95+0.9,0.02320041876821968,0.028592735431500437,0.00032813141698139647
OGD-OGD,10,AdultIncome,0.95+0.9,0.02320041876821968,0.025281687990647936,0.0002528168799064794
OGD-OGD,13,AdultIncome,0.95+0.9,0.09576072322865828,0.066477682247494,0.000557248171737033
OGD-OGD,16,AdultIncome,0.95+0.9,0.017422447622627388,0.01075286507379071,0.00014888012049933205
OGD-OGD,19,AdultIncome,0.95+0.9,0.017422447622627388,0.01075286507379071,0.00014888012049933205
OGD-OGD,22,AdultIncome,0.95+0.9,0.010554736005224398,0.01075286507379071,0.00014888012049933205
